columns,percent_nan
cast_member,10.415764400173236
country_of_origin,0.4609292829301491
director,10.449792736496939
enwiki_title,0.0
filming_location,72.5762544082163
genre,0.0
imdb_id,0.0
main_subject,80.94722514384706
original_language,1.5343686196869393
publication_date,0.0
series,97.4880900822867
wikidata_id,0.0
audience_average,0.0
audience_percent,0.0
audience_ratings,0.0
critic_average,48.292396213574214
critic_percent,48.292396213574214
omdb_awards,72.95056610777702
