cast_member,country_of_origin,director,original_language,publication_date,audience_average,audience_percent,audience_ratings,critic_average,critic_percent,oscars,awards,nominations,year,month,day,dayofweek,num_actors,action film,comedy film,crime film,drama film,horror film
12645,45,3624,19,1110499200,3.0,42.0,447170.0,4.0,15.0,2,5,0,2005,3,11,4,22,0,1,0,0,0
11702,45,7051,19,662688000,2.8,34.0,6712.0,4.9,29.0,0,0,0,1991,1,1,1,10,1,0,1,0,0
9593,45,5877,19,725846400,2.8,48.0,35770.0,5.3,53.0,0,0,0,1993,1,1,4,11,1,0,0,0,0
19226,13,3681,19,1009843200,4.0,87.0,7179.0,6.2,55.0,0,0,0,2002,1,1,1,1,0,1,0,0,0
11929,45,5063,19,410227200,2.9,39.0,12432.0,4.9,53.0,0,0,0,1983,1,1,5,13,0,0,0,1,0
3717,45,5948,19,-63158400,3.9,88.0,28380.0,6.7,81.0,0,0,0,1968,1,1,0,15,0,1,0,0,0
8193,45,6807,19,1254355200,3.1,38.0,295035.0,5.3,38.0,0,0,0,2009,10,1,3,20,1,0,0,0,0
9373,45,3507,19,1072915200,3.2,77.0,244870.0,6.2,69.0,1,10,0,2004,1,1,3,17,0,1,0,0,0
10468,45,2537,19,757382400,3.6,94.0,56323.0,5.2,31.0,0,0,0,1994,1,1,5,14,0,0,0,1,0
9812,45,3576,19,1136073600,3.1,54.0,419473.0,3.2,12.0,0,0,0,2006,1,1,6,19,0,1,0,0,0
7660,45,2466,19,1009843200,3.1,49.0,10485.0,5.4,46.0,0,0,0,2002,1,1,1,20,0,1,0,0,0
2190,8,4487,19,1136073600,3.3,59.0,883.0,6.8,90.0,0,0,0,2006,1,1,6,2,0,0,0,0,1
18993,74,7060,14,1230768000,3.6,67.0,1797.0,5.9,50.0,0,0,0,2009,1,1,3,6,0,0,0,1,0
14280,15,1573,57,978307200,3.9,82.0,8519.0,6.2,64.0,1,1,0,2001,1,1,0,7,0,1,0,0,0
6130,45,4127,19,1230768000,3.0,39.0,93847.0,5.7,66.0,0,0,0,2009,1,1,3,7,0,0,0,0,1
6592,15,4141,19,1199404800,2.7,29.0,61860.0,2.5,0.0,2,0,0,2008,1,4,4,14,0,0,0,0,1
10751,45,5163,19,1262304000,2.8,38.0,694.0,2.3,0.0,0,0,0,2010,1,1,4,4,1,0,0,0,1
2020,43,2711,4,1072915200,4.1,92.0,36453.0,7.6,84.0,1,67,36,2004,1,1,3,9,0,0,0,1,0
3430,7,4308,19,875318400,3.4,75.0,22456.0,7.0,67.0,2,4,0,1997,9,27,5,11,0,0,0,1,0
19226,88,4619,94,883612800,3.8,86.0,1061.0,7.0,80.0,0,0,0,1998,1,1,3,1,0,0,0,1,0
6987,43,5450,4,978307200,3.3,58.0,1372.0,5.3,45.0,12,8,0,2001,1,1,0,9,0,1,0,0,0
13650,45,699,19,94694400,3.1,53.0,3208.0,5.0,50.0,0,0,0,1973,1,1,0,10,1,0,1,0,0
7995,45,7855,19,-189388800,3.5,70.0,6794.0,5.5,75.0,0,0,0,1964,1,1,2,27,0,1,0,0,0
3070,45,7916,19,820454400,3.2,66.0,31868.0,7.3,68.0,0,0,0,1996,1,1,0,17,0,0,0,1,0
169,45,1462,19,282960000,3.4,81.0,35148.0,8.2,94.0,3,9,0,1978,12,20,2,9,0,0,0,0,1
16664,16,4692,20,-31536000,3.4,61.0,1056.0,7.1,63.0,0,0,0,1969,1,1,2,16,0,0,0,1,0
10268,45,7822,19,536457600,3.3,60.0,13814.0,5.6,58.0,1,1,0,1987,1,1,3,10,0,0,0,0,1
13585,8,5818,19,473385600,4.0,85.0,4642.0,6.8,79.0,0,0,0,1985,1,1,1,12,0,0,0,1,0
7306,45,3619,19,-915148800,4.2,91.0,787.0,6.7,100.0,0,0,0,1941,1,1,2,12,0,1,0,0,0
8445,45,1001,19,94694400,4.1,94.0,11301.0,8.6,91.0,0,0,0,1973,1,1,0,10,0,1,0,1,0
13985,8,4620,4,1009843200,3.5,66.0,685.0,6.6,78.0,0,0,0,2002,1,1,1,22,0,0,0,1,0
10820,13,778,31,978307200,3.8,82.0,5496.0,8.0,91.0,26,18,0,2001,1,1,0,1,0,0,0,1,0
546,45,4627,19,1051228800,3.4,75.0,190634.0,6.4,62.0,1,11,0,2003,4,25,4,12,0,0,0,0,1
2754,45,3916,19,1199145600,3.1,44.0,97975.0,4.5,26.0,0,0,0,2008,1,1,1,31,0,1,0,0,0
4552,45,73,19,378691200,2.8,31.0,1259.0,4.8,33.0,0,0,0,1982,1,1,4,12,0,1,0,0,0
12974,45,4684,19,852076800,3.4,75.0,417034.0,5.7,55.0,2,7,9,1997,1,1,2,26,1,0,0,0,0
2680,45,7853,19,915148800,3.2,59.0,19866.0,5.8,44.0,3,2,0,1999,1,1,4,9,0,0,0,1,0
10069,8,1415,19,1325376000,3.6,64.0,38884.0,6.2,74.0,0,0,0,2012,1,1,6,19,0,0,0,1,0
4883,8,2790,19,536457600,3.5,68.0,1101.0,6.2,60.0,0,0,0,1987,1,1,3,1,0,0,0,1,0
1801,45,2466,19,946684800,3.2,57.0,15650.0,6.3,66.0,1,1,3,2000,1,1,5,13,0,1,0,0,0
10519,45,722,19,511747200,2.8,39.0,56331.0,4.2,40.0,1,0,0,1986,3,21,4,32,1,1,0,0,0
5450,58,5878,63,-410227200,3.8,81.0,1304.0,7.5,80.0,0,0,0,1957,1,1,1,8,0,0,0,1,0
3891,45,4308,19,419212800,3.1,61.0,79062.0,4.7,33.0,0,0,0,1983,4,15,4,12,0,0,0,1,0
8634,8,3230,19,1072915200,3.5,66.0,8045.0,6.1,63.0,0,0,0,2004,1,1,3,11,0,0,0,1,0
7463,45,1676,63,599616000,3.9,87.0,10516.0,7.3,88.0,0,0,0,1989,1,1,6,19,0,1,0,1,0
1277,53,2436,84,1271894400,3.5,71.0,1366.0,7.3,89.0,0,0,0,2010,4,22,3,10,0,0,0,1,0
3390,8,3980,19,631152000,3.9,78.0,2615.0,6.5,83.0,0,0,0,1990,1,1,0,2,0,0,0,1,1
17394,45,1548,19,441763200,3.2,63.0,24131.0,5.5,70.0,1,0,0,1984,1,1,6,3,1,1,0,0,1
13050,45,4635,19,820454400,3.0,69.0,301754.0,6.2,72.0,1,4,0,1996,1,1,0,7,0,1,0,0,0
8180,45,3911,19,725846400,2.8,35.0,27195.0,3.6,14.0,0,0,0,1993,1,1,4,11,1,0,0,0,0
7511,15,4855,57,946684800,3.4,68.0,37810.0,5.7,56.0,0,0,0,2000,1,1,5,6,0,0,0,0,1
797,7,1304,13,-69033600,4.3,94.0,14105.0,8.4,100.0,0,0,0,1967,10,25,2,16,0,0,1,1,0
2479,45,4625,19,-441849600,3.2,42.0,5379.0,3.7,0.0,1,0,0,1956,1,1,6,23,0,0,0,1,0
16213,16,7,20,1218240000,3.8,82.0,3557.0,7.0,84.0,4,6,0,2008,8,9,5,16,0,0,0,1,0
10564,74,7637,116,-441849600,4.3,93.0,3156.0,8.7,94.0,0,0,0,1956,1,1,6,3,0,0,0,1,0
13550,45,7776,19,1325376000,3.0,36.0,8009.0,4.9,34.0,0,0,0,2012,1,1,6,13,0,0,0,1,0
7781,45,786,19,1370822400,3.9,75.0,446245.0,6.2,55.0,7,46,0,2013,6,10,0,16,1,0,0,0,0
16427,8,7337,19,946684800,3.0,38.0,414.0,5.6,60.0,0,0,0,2000,1,1,5,13,0,0,0,1,0
5667,45,7407,70,1136073600,3.6,79.0,135353.0,4.6,41.0,4,0,0,2006,1,1,6,19,1,0,1,0,0
8288,107,6251,95,978307200,3.7,82.0,2202.0,6.8,81.0,0,0,0,2001,1,1,0,2,0,0,0,1,0
15407,45,5749,19,648259200,2.8,54.0,225626.0,6.8,92.0,2,5,0,1990,7,18,2,14,0,1,0,0,1
111,45,2868,19,1104537600,3.6,78.0,90717.0,6.3,64.0,1,5,0,2005,1,1,5,9,0,0,0,1,0
15641,45,2543,19,-820540800,3.6,70.0,545.0,7.0,83.0,0,0,0,1944,1,1,5,13,0,1,0,0,0
